Main Author,Year,Type of Approach,No Additional Sensing,Earphone Type,Development Stage,On-Device Processing,Active Interaction,Learning Method,Number of Authentication Stages,Continuous / One-Time,Accuracy (BAC),Discreetness of Authentication,Robustness of Authentication,Resistance against Attacks,Registration Time,Authentication Time,Accuracy Evaluations,Usability Evaluations,Feasibility Evaluations,Responsiveness Evaluations,Noise Level Evaluations,Moving State Evaluations,Wearing Angle Evaluations,Evaluations of Different Settings,Threat Models Evaluations,Motivations,Keywords,Abstract,ID,Study Link,Title,Authors,Venue,BAC,Sensors
Zou et al.,2024,Others,Yes,Custom Device,Research Prototype,No,No,DML,2,Continuous,Medium,High,Medium,,,Short,Yes,No,Yes,Yes,Yes,Yes,Yes,Lab/Controlled Room,No,"System Extension, Novel Authentication Technique","Irrigation, Authentication, Headphones, user authentication, Deep learning, Sensors, Acoustics, Smart phones, Deep metric learning (DML), Identification of persons, Physiology, smart earphones","With the increasing pervasiveness of smart earphones, it is appealing to propose more unobtrusive and convenient wearable authentication methods. Researchers have designed earphone-based authentication systems which utilize high-frequency audio signals to scan ear canal structure. Nevertheless, they possess shortcomings of low unobtrusiveness and robustness. In this article, we put forward an earphone-based passive authentication system which makes use of physiological and behavioral acoustic signals caused by a user’s natural actions, including putting on earphones and inner organs’ activities, respectively. By introducing attention mechanism into the network design, our method adaptively weighs two channel signals, and extracts stable fingerprints for different people, which relieves model retraining for unseen users and improves its scalability. We have built a real-time prototype called EarPrint by designing the earphones and a mobile application, and conducted comprehensive experiments under diverse settings. Experimental results demonstrate that EarPrint has low false acceptance rate (FAR) and equal error rate (EER) less than 1\% and 5\% in most cases, respectively.",1,https://ieeexplore.ieee.org/document/10566858,"EarPrint: Earphone-Based Implicit User Authentication With Behavioral and Physiological Acoustics
for the hearing-impaired","Zou, Yongpan and Weng, Jianhao and Lei, Haibo and Wang, Danyang and Leung, Victor C. M. and Wu, Kaishun",IEEE Internet of Things Journal,94.26%,"Bluetooth, Speaker, Microphone"
Zou et al.,2023,Others,Yes,Custom Device,Research Prototype,No,No,HMM,2,Continuous,High,High,Medium,,Medium,Short,Yes,No,Yes,Yes,Yes,Yes,Yes,Lab/Controlled Room,No,"Novel Authentication Technique, System Extension","Ear, Irrigation, Authentication, Headphones, Sensors, deep learning, earable device, Hardware, Microphones, User authentication","User authentication and identification on smart devices has great significance in keeping data privacy and recommending personalized services. With the rising popularity of smart earphones recently, they open up a new world for users to enjoy music individually, but also bring about privacy concerns at the same time. Existing few research works propose positive sensing systems that emit and receive inaudible acoustic signals to authenticate users. However, they share shortcomings of intrusiveness to users, high power consumption, and purely focusing on authentication. Instead, in this paper, we propose a passive sensing system called {\textbackslash}sf EarIDEarID with low-cost customized earphones which attains user authentication and identification at once. It makes use of a embedded microphone to sense body sounds spread out through ear canals and extract ‘fingerprints’ as a novel biometric feature. With self-designed earphones, we design a deep learning-based real-time data processing pipeline and cope with external interference. Extensive experiments under different real-world settings show that {\textbackslash}sf EarIDEarID can achieve a rather low false acceptance rate of 3.4\%3.4\% for user authentication and a high F1F1 score of 95.5\%95.5\% for legitimate user identification.",2,https://ieeexplore.ieee.org/document/9647983,"Beyond Legitimacy, Also With Identity: Your Smart Earphones Know Who You Are Quietly","Zou, Yongpan and Lei, Haibo and Wu, Kaishun",IEEE Transactions on Mobile Computing,95.85%,"Microphone, Speaker, Bluetooth"
Zhou et al.,2025,Motion-Based,Yes,Custom Device,Research Prototype,No,Yes,DL-Cls,1,One-Time,High,Medium,Medium,Medium,,,Yes,No,Yes,No,No,Yes,No,Lab/Controlled Room,Yes,"Proof-of-Concept, Novel Authentication Technique","Ear, Irrigation, Authentication, Feature extraction, Wearable devices, Physiology, barometer, Barometers, Deformation, ear canal deformation, earbuds, Microelectromechanical systems, speaking user authentication, Working environment noise","The growing adoption of smart wearable devices (e.g., earbuds and smart watches) poses new challenges for secure and seamless user authentication due to their limited interaction interfaces. Conventional biometric methods, including fingerprints, voice, and facial recognition, often suffer from usability constraints, noise interference, or susceptibility to spoofing attacks. In this paper, we propose BaroAuth, a novel authentication system that utilizes the stable and distinctive patterns of Speech-aware Pressure Sequences (SPSs) captured by miniature MEMS barometers embedded in earbuds. The design of BaroAuth is based on two key observations. First, speech production involves coordinated movements of articulatory organs, such as the jaw, tongue, and soft palate, which reshape the ear canal geometry via the temporomandibular joint (TMJ), generating subtle pressure variations that encode the speaker’s unique articulatory dynamics and physiological traits. Second, SPSs demonstrate strong intra-individual consistency and notable inter-individual variability, which can be effectively captured by barometers. We implement the prototype of BaroAuth and conduct comprehensive experiments on it. Experimental results demonstrate that BaroAuth achieves a mean false-acceptance rate (FAR) and false-rejection rate (FRR) of 1.62\% and 1.74\%, respectively, even under sophisticated attack scenarios.",3,https://ieeexplore.ieee.org/document/11183763,FreeDigiter: A Contact–free Device for Gesture Control,BaroAuth: Harnessing Ear Canal Deformation for Speaking User Authentication on Earbuds,IEEE International Conference on Distributed Computing Systems (ICDCS),96.35,"Speaker, Pressure Sensor, Bluetooth"
Xie et al.,2024,Motion-Based,Yes,Earbud,Commercial,No,Yes,KNN,1,One-Time,High,Medium,Medium,High,Medium,Short,Yes,No,Yes,Yes,Yes,Yes,Yes,Lab/Controlled Room,Yes,"Novel Authentication Technique, Proof-of-Concept, User-Centered Design","Authentication, Feature extraction, Headphones, user authentication, earphones, Energy consumption, head motion, Motion segmentation, System performance, ubiquitous computing, Ubiquitous computing","With the growing reliance on digital systems in today's mobile Internet era, robust authentication methods are crucial for safeguarding personal data and controlling access to resources. Conventional methods, such as knowledge-based and biometric-based authentication, are widely used but still have some usage limitations and potential security concerns, like wearing protective suits/masks or being imitated by attackers with ulterior motives. In this paper, we propose another earphone-based authentication system, namely EarPass, that leverages users' unique head motion patterns in response to a very short period of music segment. Here, we employ a Convolutional Neural Network (CNN)-based feature extractor to capture and map distinct head motions into a well-separated latent space, achieving high-dimensional data extraction. We demonstrate the consistency, uniqueness, and robustness of head motion patterns through extensive experiments and reach a 98.2\% F1-score, indicating superior performance compared to conventional authentication methods. Additionally, EarPass is user-friendly, secure, and adaptable to various environments, including noisy and movement-oriented scenarios. By integrating the authentication system into Android devices, we showcase its real-world applicability and low energy consumption with minimal latency. The source code of EarPass will be open-source to further research and collaboration within the community.",4,https://ieeexplore.ieee.org/document/10631065,EarPass: Unlock When Wearing Your Earphones,"Xie, Yanze and Gao, Mengzhen and Liu, Xiaoning and Huana, Shuo and Cui, Helei and Yu, Zhiwen and Guo, Bin",IEEE International Conference on Distributed Computing Systems (ICDCS),≈ 98.1%,"Accelerometer, Gyroscope"
Xie et al.,2024,Others,Yes,Earbud,Research Prototype,No,Yes,DML,1,One-Time,High,High,High,High,Short,Short,Yes,Yes,Yes,Yes,Yes,No,No,"Car, Park, Mall, Lab/Controlled Room",Yes,"Proof-of-Concept, Novel Authentication Technique","Ear, Irrigation, Authentication, biometrics, Feature extraction, Biometrics (access control), acoustic sensing, Dentistry, Mobile authentication, occlusal sound, Teeth","With the rapid development of mobile devices and the fast increase of sensitive data, secure and convenient mobile authentication technologies are desired. Except for traditional passwords, many mobile devices have biometric-based authentication methods (e.g., fingerprint, voiceprint, and face recognition), but they are vulnerable to spoofing attacks. To solve this problem, we study new biometric features which are based on the dental occlusion and find that the bone-conducted sound of dental occlusion collected in binaural canals contains unique features of individual bones and teeth. Motivated by this, we propose a novel authentication system, TeethPass⁺+, which uses earbuds to collect occlusal sounds in binaural canals to achieve authentication. First, we design an event detection method based on spectrum variance to detect bone-conducted sounds. Then, we analyze the time-frequency domain of the sounds to filter out motion noises and extract unique features of users from four aspects: teeth structure, bone structure, occlusal location, and occlusal sound. Finally, we train a Triplet network to construct the user template, which is used to complete authentication. Through extensive experiments including 53 volunteers, the performance of TeethPass⁺+ in different environments is verified. TeethPass⁺+ achieves an accuracy of 98.6\% and resists 99.7\% of spoofing attacks.",5,https://ieeexplore.ieee.org/document/10330729,User Authentication on Earable Devices via Bone-Conducted Occlusion Sounds,"Xie, Yadong and Li, Fan and Wu, Yue and Wang, Yu",IEEE Transactions on Dependable and Secure Computing,≈98.6%,Microphone
Wu & He,2023,Shape-Based,Yes,Earbud,Research Prototype,No,No,AAD,1,One-Time,High,High,,,,,Yes,No,No,No,No,No,No,Lab/Controlled Room,No,Performance Optimization,"Ear, Irrigation, Authentication, Training, Headphones, Computational modeling, Acoustic Sensing, Autoencoder, Ear Canal, Human computer interaction, User Authentication","Nowadays, earphone acts an increasingly vital role in human computer interaction. Throughout this trend, earphone-based user authentication, a new modality of biometric authentication, is winning more attention. Previous research leverage ear canal related features to authenticate users. These methods establish a binary classification model, based on the assumption that the identity information of all invalid users is given. However, they may not be effective when confronting new attackers.In this paper, we propose EarAE, a lightweight auto-encoder to address this problem. The basic idea is to model the authentication as a one-class classification problem, with features of the valid user as the single training class. Specifically, during training, the ear canal features of the valid user are fed into an autoencoder and reconstructed. EarAE learns to minimize the loss function between the input and the reconstructed counterparts. In this way, valid users will have a much lower loss function score than invalid users. Finally, a threshold is set to distinguish between valid/invalid users. Experimental results show that EarAE can achieve an averaged balanced accuracy of over 96\% across 30 subjects. This demonstrates a promising prospect of EarAE to serve as a reliable means of user authentication.",6,https://ieeexplore.ieee.org/document/10233591,EarAE: An Autoencoder based User Authentication using Earphones,"Wu, Yuli and He, Jing",IEEE/CIC International Conference on Communications in China (ICCC),96.60%,"Speaker, Microphone"
Wu et al.,2025,Shape-Based,No,Custom Device,Research Prototype,No,Yes,DL-Cls,1,One-Time,High,Low,,,,,Yes,No,No,No,No,No,No,Lab/Controlled Room,Yes,"Proof-of-Concept, System Extension","Authentication, Training, user authentication, Sensors, Biological system modeling, Visualization, Mobile computing, 3D facial reconstruction, Biosensors, Facial animation, single-ear biosensing, Solid modeling, Three-dimensional displays, Tracking, wearable sensing","Facial landmark tracking and 3D reconstruction have gained considerable attention due to their numerous applications such as human-computer interactions, facial expression analysis, and emotion recognition, etc. Traditional approaches require users to be confined to a particular location and face a camera under constrained recording conditions, which prevents them from being deployed in many application scenarios involving human motions. In this paper, we propose the first single-earpiece lightweight biosensing system, BioFace-3D, that can unobtrusively, continuously, and reliably sense the entire facial movements, track 2D facial landmarks, and further render 3D facial animations. Our single-earpiece biosensing system takes advantage of the cross-modal transfer learning model to transfer the knowledge embodied in a high-grade visual facial landmark detection model to the low-grade biosignal domain. After training, our BioFace-3D can directly perform continuous 3D facial reconstruction from the biosignals, without any visual input. Additionally, by utilizing biosensors, we also showcase the potential for capturing both behavioral aspects, such as facial gestures, and distinctive individual physiological traits, establishing a comprehensive two-factor authentication/identification framework. Extensive experiments involving 16 participants demonstrate that BioFace-3D can accurately track 53 major facial landmarks with only 1.85 mm average error and 3.38\% normalized mean error, which is comparable with most state-of-the-art camera-based solutions. Experiments also show that the system can authenticate users with high accuracy (e.g., over 99.8\% within two trials for three gestures in series), low false positive rate (e.g., less 0.24\%), and is robust to various types of attacks.",7,https://ieeexplore.ieee.org/abstract/document/10701549,3D Facial Tracking and User Authentication Through Lightweight Single-Ear Biosensors,"Wu, Yi and Zhang, Xiande and Wu, Tianhao and Zhou, Bing and Nguyen, Phuc and Liu, Jian",IEEE Transactions on Mobile Computing,97.50%,"EOG, EMG, Camera"
Wang et al.,2024,Motion-Based,Yes,Earbud,Research Prototype,No,Yes,DML,1,One-Time,High,Medium,High,High,,,Yes,Yes,Yes,No,No,No,No,"Car, Outdoors, Living Room, Office",Yes,"Proof-of-Concept, Novel Authentication Technique, User-Centered Design",,"Ear wearables (earables) are emerging platforms that are broadly adopted in various applications. There is an increasing demand for robust earables authentication because of the growing amount of sensitive information and the IoT devices that the earable could access. Traditional authentication methods become less feasible due to the limited input interface of earables. Nevertheless, the rich head-related sensing capabilities of earables can be exploited to capture human biometrics. In this paper, we propose EarSlide, an earable biometric authentication system utilizing the advanced sensing capacities of earables and the distinctive features of acoustic fingerprints when users slide their fingers on the face. It utilizes the inward-facing microphone of the earables and the face-ear channel of the ear canal to reliably capture the acoustic fingerprint. In particular, we study the theory of friction sound and categorize the characteristics of the acoustic fingerprints into three representative classes, pattern-class, ridge-groove-class, and coupling-class. Different from traditional fingerprint authentication only utilizes 2D patterns, we incorporate the 3D information in acoustic fingerprint and indirectly sense the fingerprint for authentication. We then design representative sliding gestures that carry rich information about the acoustic fingerprint while being easy to perform. It then extracts multi-class acoustic fingerprint features to reflect the inherent acoustic fingerprint characteristic for authentication. We also adopt an adaptable authentication model and a user behavior mitigation strategy to effectively authenticate legit users from adversaries. The key advantages of EarSlide are that it is resistant to spoofing attacks and its wide acceptability. Our evaluation of EarSlide in diverse real-world environments with intervals over one year shows that EarSlide achieves an average balanced accuracy rate of 98.37\% with only one sliding gesture.",8,https://dl.acm.org/doi/10.1145/3643515,EarSlide: a Secure Ear Wearables Biometric Authentication Based on Acoustic Fingerprint,"Wang, Zi and Wang, Yilin and Yang, Jie",Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.,98.37%,Microphone
Wang et al.,2022,Others,Yes,Earbud,Research Prototype,No,Yes,DL-Cls,1,One-Time,High,High,High,High,,,Yes,Yes,Yes,No,No,Yes,No,"Lab/Controlled Room, Living Room, Park, Car, Supermarket",Yes,"Proof-of-Concept, Novel Authentication Technique, User-Centered Design",,"Earables (ear wearables) are rapidly emerging as a new platform encompassing a diverse range of personal applications. The traditional authentication methods hence become less applicable and inconvenient for earables due to their limited input interface. Nevertheless, earables often feature rich around-the-head sensing capability that can be leveraged to capture new types of biometrics. In this work, we propose ToothSonic that leverages the toothprint-induced sonic effect produced by a user performing teeth gestures for earable authentication. In particular, we design representative teeth gestures that can produce effective sonic waves carrying the information of the toothprint. To reliably capture the acoustic toothprint, it leverages the occlusion effect of the ear canal and the inward-facing microphone of the earables. It then extracts multi-level acoustic features to reflect the intrinsic toothprint information for authentication. The key advantages of ToothSonic are that it is suitable for earables and is resistant to various spoofing attacks as the acoustic toothprint is captured via the user's private teeth-ear channel that modulates and encrypts the sonic waves. Our experiment studies with 25 participants show that ToothSonic achieves up to 95\% accuracy with only one of the users' tooth gestures.",9,https://dl.acm.org/doi/10.1145/3534606,ToothSonic: Earable Authentication via Acoustic Toothprint,"Wang, Zi and Ren, Yili and Chen, Yingying and Yang, Jie",Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.,95.50%,Microphone
Wang et al.,2024,Motion-Based,Yes,Earbud,Research Prototype,No,Yes,DL-Cls,1,Continuous,High,Medium,Low,High,,,Yes,No,No,No,Yes,Yes,No,Lab/Controlled Room,Yes,"Proof-of-Concept, Novel Authentication Technique, User-Centered Design","Authentication, Sensors, Wearable devices, Adversarial learning, Communication system security, implicit authentication, Security, wearable computing, Wireless communication, Wireless sensor networks","The surge in popularity of wireless headphones, particularly wireless earbuds, as smart wearables, has been notable in recent years. These devices, empowered by artificial intelligence (AI), are broadening their utility in areas such as speech recognition, augmented reality, pose recognition, and health care monitoring, thereby enriching user experiences through novel interactive interfaces driven by embedded sensors. However, the widespread adoption of wireless earbuds has spurred concerns regarding security and privacy, necessitating robust bespoke security measures. Despite the miniaturization of mobile chips enabling the integration of sophisticated algorithms into smart wearables, the research and industrial communities have yet to accord adequate attention to earbud security. This article focuses on empowering wireless earbuds to authenticate their legitimate users, tackling the challenges associated with conventional authentication methods. Instead of relying on input interface authentication methods like PIN or lock patterns, this research delves into leveraging inertial measurement unit (IMU) data collected during interactions with devices to extract novel biometric features, presenting an alternative approach that nonetheless confronts challenges related to signal capture and interference. Consequently, we propose and design BudsAuth, an implicit user authentication framework that harnesses built-in IMU sensors in smart earbuds to capture vibration signals induced by on-face touching interactions with the earbuds. These vibrations are utilized to deliver continuous and implicit user authentication with high precision and compatibility across various earbud models. Extensive evaluation demonstrates BudsAuth’s capability to achieve an equal error rate (EER) of 0.0003, representing an approximate 99.97\% accuracy with seven consecutive samples of interactive gestures for implicit authentication.",10,https://ieeexplore.ieee.org/document/10478100,BudsAuth: Toward Gesture-Wise Continuous User Authentication Through Earbuds Vibration Sensing,"Wang, Yong and Yang, Tianyu and Wang, Chunxiao and Li, Feng and Hu, Pengfei and Shen, Yiran",IEEE Internet of Things Journal,≈ 95%,"Accelerometer, Gyroscope"
