Main Author,Year,Type of Approach,No Additional Sensing,Earphone Type,Development Stage,On-Device Processing,Active Interaction,Learning Method,Number of Authentication Stages,Continuous/ One-Time,Accuracy (BAC),Discreetness of Authentication,Robustness of Authentication,Resistance against Attacks,Registration Time,Authentication Time,Accuracy Evaluations,Usability Evaluations,Feasibility Evaluations,Responsiveness Evaluations,Noise Level Evaluations,Moving State Evaluations,Wearing Angle Evaluations,Evaluations of Different Settings,Threat Models Evaluations,Motivations,Keywords,Abstract,ID,Study Link,Title,Authors,Venue,BAC,Sensors
Akkermans et al.,2005,Shape-Based,Yes,Headphone,Commercial,No,No,LDA,1,One-Time,High,High,N/A,N/A,N/A,N/A,Yes,No,No,No,No,No,No,Lab/Controlled Room,No,"Novel Authentication Technique, Proof-of-Concept","Ear, Irrigation, Acoustic devices, Acoustic measurements, Biometrics, Fingerprint recognition, Loudspeakers, Resonance, Shape, Transfer functions","In this paper we investigate how the acoustic properties of the pinna-i.e., the outer flap of the ear- and the ear canal can be used as a biometric. The acoustic properties can be measured relatively easy with an inexpensive sensor and feature vectors can be derived with little effort. We achieve equal error rates in the order of 1.5\%-7\%, depending on the application device that is used to do the measurement.",46,https://ieeexplore.ieee.org/document/1544428,Acoustic ear recognition for person identification,"Akkermans, A.H.M. and Kevenaar, T.A.M. and Schobben, D.W.E.",IEEE Workshop on Automatic Identification Advanced Technologies,98.60%,"Microphone, Speaker"
Liu and Hatzinakos,2014,Shape-Based,Yes,Earbud,Research Prototype,No,No,LDA,1,One-Time,High,High,Medium,N/A,N/A,N/A,Yes,No,No,No,No,No,No,"Lab/Controlled Room, Office, Clinic",No,"Proof-of-Concept, Novel Authentication Technique","Feature extraction, Biometrics (access control), Auditory system, biometric fusion, linear discriminant analysis, Linear discriminant analysis, Robust biometric modality, Robust Biometric Modality, time-frequency analysis, Time-frequency analysis, Time-frequency Analysis, transient evoked otoacoustic emission, Transient Evoked Otoacoustic Emission","Biometrics is attracting increasing attention in privacy and security concerned issues, such as access control and remote financial transaction. However, advanced forgery and spoofing techniques are threatening the reliability of conventional biometric modalities. This has been motivating our investigation of a novel yet promising modality transient evoked otoacoustic emission (TEOAE), which is an acoustic response generated from cochlea after a click stimulus. Unlike conventional modalities that are easily accessible or captured, TEOAE is naturally immune to replay and falsification attacks as a physiological outcome from human auditory system. In this paper, we resort to wavelet analysis to derive the time-frequency representation of such nonstationary signal, which reveals individual uniqueness and long-term reproducibility. A machine learning technique linear discriminant analysis is subsequently utilized to reduce intrasubject variability and further capture intersubject differentiation features. Considering practical application, we also introduce a complete framework of the biometric system in both verification and identification modes. Comparative experiments on a TEOAE data set of biometric setting show the merits of the proposed method. Performance is further improved with fusion of information from both ears.",34,https://ieeexplore.ieee.org/document/6914592,Earprint: Transient Evoked Otoacoustic Emission for Biometrics,"Liu, Yuxi and Hatzinakos, Dimitrios",IEEE Transactions on Information Forensics and Security,98.15%,"Microphone, Speaker"
Derawi,2016,Shape-Based,No,Headphone,Research Prototype,No,No,DL-Cls,1,One-Time,Low,High,N/A,N/A,N/A,N/A,Yes,No,No,No,No,No,No,Lab/Controlled Room,No,"Proof-of-Concept, Novel Authentication Technique","Ear, Headphones, Microphones, Acoustics, Acoustic, Atmospheric measurements, Ear Recognition, Frequency measurement, Particle measurements","This paper deals with the holistic development of a biometric system based on acoustic ear recognition. Its main purpose is to map one aspects within acoustic ear recognition, namely the performance of the ear characteristics bands and peaks. 50 subjects have participated in experiments collecting biometric samples. The measuring device composed of a pair of headphones with an integrated microphone as sensor. Several methods have been utilized for feature extraction, and various types of distance metrics and classifiers have been employed.",41,https://ieeexplore.ieee.org/document/7835597,Biometric acoustic ear recognition,"Derawi, Mohammad",International Conference on Bio-engineering for Smart Technologies (BioSMART),85.10%,"Microphone, Speaker"
Curran et al.,2016,Brain Activity-Based,Yes,Custom Device,Research Prototype,No,Yes,SVM,1,One-Time,Low,High,N/A,N/A,N/A,N/A,Yes,Yes,No,No,No,No,No,Lab/Controlled Room,No,"System Extension, User-Centered Design, Proof-of-Concept, Novel Authentication Technique","Ear, Authentication, Electroencephalography, Sensors, Electrodes, Face, Testing","Personal and wearable computing are moving toward smaller and more seamless devices. We explore how this trend could be mirrored in an authentication scheme based on electroencephalography (EEG) signals collected from the ear. We evaluate this model using a low cost, single-channel, consumer grade device for data collection. Using data from 12 study participants who performed a set of 5 mental tasks, we achieve a 44\% reduction in half total error rate (HTER) compared with a random classifier, corresponding to a 72\% authentication accuracy in within-participants analyses and a 60\% reduction and 80\% accuracy in between-participant analyses. Given our results and those of previous research, we conclude that earEEG shows potential as a uniquely convenient authentication method as it is integrable into devices like earbud headphones already commonly worn in the ear, and the mental gestures generating the signal are invisible to would-be eavesdroppers.",42,https://ieeexplore.ieee.org/document/7591112,Passthoughts authentication with low cost EarEEG,"Curran, Max T. and Yang, Jong-kai and Merrill, Nick and Chuang, John",Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),80%,EEG
Arakawa et al.,2016,Shape-Based,Yes,Earbud,Commercial,No,No,LDA,1,One-Time,High,High,N/A,N/A,N/A,N/A,Yes,No,No,No,No,No,No,Lab/Controlled Room,No,"Novel Authentication Technique, System Extension","Ear, Irrigation, Authentication, Headphones, Smart phones, Mel frequency cepstral coefficient","This paper presents a biometric personal-authentication method that exploits acoustic characteristics of human ears. It transmits a probe signal into the ear and receives its reflection, which contains personal identity information about the shape of the ear canal. Based on a study of effective and efficient acoustic feature representation and the use of audio equipment suitable for acquiring features with low within-individual variability, the proposed method achieves a promising equal error rate of 0.97\% with only 12 feature components. A prototype system for Android smartphones is also presented.",45,https://ieeexplore.ieee.org/document/7820886,Fast and accurate personal authentication using ear acoustics,"Arakawa, Takayuki and Koshinaka, Takafumi and Yano, Shohei and Irisawa, Hideki and Miyahara, Ryoji and Imaoka, Hitoshi",Asia-Pacific Signal and Information Processing Association Annual Summit and Conference (APSIPA),99.03%,"Microphone, Speaker"
Curran et al.,2017,Brain Activity-Based,Yes,Earbud,Research Prototype,No,Yes,Boosting,1,One-Time,High,High,N/A,N/A,N/A,N/A,Yes,No,No,No,No,No,No,Lab/Controlled Room,No,"Proof-of-Concept, Novel Authentication Technique, System Extension, User-Centered Design",N/A,"Multifactor authentication presents a robust security method, but typically requires multiple steps on the part of the user resulting in a high cost to usability and limiting adoption. Furthermore, a truly usable system must be unobtrusive and inconspicuous. Here, we present a system that provides all three factors of authentication (knowledge, possession, and inherence) in a single step in the form of an earpiece which implements brain-based authentication via custom-fit, in-ear electroencephalography (EEG). We demonstrate its potential by collecting EEG data using manufactured custom-fit earpieces with embedded electrodes. Across 7 participants, we are able to achieve perfect performance, mean 0\% false acceptance (FAR) and 0\% false rejection rates (FRR), using participants' best performing tasks collected in one session by one earpiece with three electrodes. Our results indicate that a single earpiece with embedded electrodes could provide a discreet, convenient, and robust method for secure one-step, three-factor authentication.",43,https://dl.acm.org/doi/10.1145/3123024.3123087,"One-step, three-factor authentication in a single earpiece","Curran, Max T. and Merrill, Nick and Chuang, John and Gandhi, Swapan",Proceedings of the 2017 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2017 ACM International Symposium on Wearable Computers,99%,EEG
Nakamura et al.,2018,Brain Activity-Based,Yes,Earbud,Research Prototype,No,No,"SDA, SVM, LDA",1,One-Time,Low,High,N/A,N/A,N/A,N/A,Yes,No,Yes,No,No,No,No,Lab/Controlled Room,No,"Proof-of-Concept, System Extension, Performance Optimization, Novel Authentication Technique","Authentication, biometrics, electroencephalography, Electroencephalography, Feature extraction, Iris recognition, Robustness, Training, Wearable sensors","The use of electroencephalogram (EEG) as a biometrics modality has been investigated for about a decade; however, its feasibility in real-world applications is not yet conclusively established, mainly due to the issues with collectability and reproducibility. To this end, we propose a readily deployable EEG biometrics system based on a “one-fits-all” viscoelastic generic in-ear EEG sensor (collectability), which does not require skilled assistance or cumbersome preparation. Unlike most existing studies, we consider data recorded over multiple recording days and for multiple subjects (reproducibility) while, for rigour, the training and test segments are not taken from the same recording days. A robust approach is considered based on the resting state with eyes closed paradigm, the use of both parametric (autoregressive model) and non-parametric (spectral) features, and supported by simple and fast cosine distance, linear discriminant analysis, and support vector machine classifiers. Both the verification and identification forensics scenarios are considered and the achieved results are on par with the studies based on impractical on-scalp recordings. Comprehensive analysis over a number of subjects, setups, and analysis features demonstrates the feasibility of the proposed ear-EEG biometrics, and its potential in resolving the critical collectability, robustness, and reproducibility issues associated with current EEG biometrics.",32,https://ieeexplore.ieee.org/document/8067531,In-Ear EEG Biometrics for Feasible and Readily Collectable Real-World Person Authentication,"Nakamura, Takashi and Goverdovsky, Valentin and Mandic, Danilo P.",IEEE Transactions on Information Forensics and Security,82.75%,EEG
Mahto et al.,2018,Shape-Based,Yes,Earbud,Research Prototype,No,No,SDA,2,Continuous,High,High,N/A,N/A,N/A,N/A,Yes,No,No,No,No,No,No,Lab/Controlled Room,No,"Novel Authentication Technique, Proof-of-Concept, Performance Optimization, User-Centered Design","Ear, Irrigation, Authentication, Headphones, Biometrics (access control), Acoustics, Probes","This paper presents an improved version of a previously-proposed ear-acoustic biometric system for personal authentication. Even though the previous system provided a fast, accurate, and easy means of authentication, it employed noticeably audible probe signals to extract ear acoustic-features, signals which might interrupt user activities. To overcome this problem, this paper presents silent user authentication by employing inaudible signals in the place of audible signals for capturing ear acoustic-features. A comparative study using a number of audible and inaudible signals demonstrates that inaudible signals provide accurate authentication under the condition that the relative position of the earphone device against the ear canal is constant, which is a requirement for continuous user authentication. On the other hand, audible signals offer better accuracy when the earphone position changes, which is often the case in initial user authentication. This suggests the idea of a hybrid system that employs both audible and inaudible signals for, respectively, accurate initial authentication and user-friendly continuous authentication.",33,https://ieeexplore.ieee.org/document/8553015,Ear Acoustic Biometrics Using Inaudible Signals and Its Application to Continuous User Authentication,"Mahto, Shivangi and Arakawa, Takayuki and Koshinak, Takafumi",2018 26th European Signal Processing Conference (EUSIPCO),98.56%,"Microphone, Speaker"
Gao et al.,2019,Shape-Based,Yes,Earbud,Research Prototype,No,No,SVM,1,Continuous,High,High,High,High,N/A,N/A,Yes,No,Yes,No,Yes,Yes,Yes,"Lab/Controlled Room, Café, Mall, Roadside, Room",Yes,"Proof-of-Concept, Novel Authentication Technique, User-Centered Design, System Extension",N/A,"Smart wearable devices have recently become one of the major technological trends and been widely adopted by the general public. Wireless earphones, in particular, have seen a skyrocketing growth due to its great usability and convenience. With the goal of seeking a more unobtrusive wearable authentication method that the users can easily use and conveniently access, in this study we present EarEcho as a novel, affordable, user-friendly biometric authentication solution. EarEcho takes advantages of the unique physical and geometrical characteristics of human ear canal and assesses the content-free acoustic features of in-ear sound waves for user authentication in a wearable and mobile manner. We implemented the proposed EarEcho on a proof-of-concept prototype and tested it among 20 subjects under diverse application scenarios. We can achieve a recall of 94.19\% and precision of 95.16\% for one-time authentication, while a recall of 97.55\% and precision of 97.57\% for continuous authentication. EarEcho has demonstrated its stability over time and robustness to cope with the uncertainties on the varying background noises, body motions, and sound pressure levels.",36,https://dl.acm.org/doi/10.1145/3351239,EarEcho: Using Ear Canal Echo for Wearable Authentication,"Gao, Yang and Wang, Wei and Phoha, Vir V. and Sun, Wei and Jin, Zhanpeng",Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.,97.53%,"Microphone, Speaker"
Clarke et al.,2020,Motion-Based,No,Earbud,Commercial,No,Yes,N/A,1,One-Time,Medium,Medium,N/A,N/A,N/A,N/A,Yes,No,No,No,No,No,No,Lab/Controlled Room,No,"System Extension, Performance Optimization, Proof-of-Concept",N/A,"Earables, earphones augmented with inertial sensors and real-time data accessibility, provide the opportunity for private audio channels in public settings. One of the main challenges of achieving this goal is to correctly associate which device belongs to which user without prior information. In this paper, we explore how motion of an earable, as measured by the on-board accelerometer, can be correlated against detected faces from a webcam to accurately match which user is wearing the device. We conduct a data collection and explore which type of user movement can be accurately detected using this approach, and investigate how varying the speed of the movement affects detection rates. Our results show that the approach achieves greater detection results for faster movements, and that it can differentiate the same movement across different participants with a detection rate of 86\%, increasing to 92\% when differentiating a movement against others.",44,https://dl.acm.org/doi/10.1145/3428361.3428470,Motion Coupling of Earable Devices in Camera View,"Clarke, Christopher and Ehrich, Peter and Gellersen, Hans",Proceedings of the International Conference on Mobile and Ubiquitous Multimedia,≈92%,"Accelerometer, Camera"
